ID_Cliente,Nombre_Empresa,Direccion,Colonia,Delegacion_Municipio,Codigo_Postal,Tipo_Negocio,Numero_Empleados,Fecha_Inicio_Operaciones,Ingresos_Anuales,Valor_Activos
1001,TecnoSoluciones,Calle Morelos 123,Del Valle,Benito Juárez,03100,Tecnología,45,2015-03-12,25000000,62500000
1002,Café Aroma,Av. Insurgentes 456,Condesa,Cuauhtémoc,06140,Restaurante,20,2018-07-25,8000000,20000000
1003,Consultora Élite,Calle Durango 789,Roma Norte,Cuauhtémoc,06700,Consultoría,30,2010-11-03,15000000,37500000
1004,Farmacia Salud,Calle Hidalgo 234,Jardines del Pedregal,Álvaro Obregón,01900,Farmacia,15,2019-02-15,5000000,12500000
1005,ConstruMax,Av. Revolución 567,Santa Fe,Álvaro Obregón,01376,Construcción,60,2008-05-20,40000000,100000000
1006,ModaTrendy,Calle Madero 321,Polanco,Miguel Hidalgo,11550,Comercio,25,2017-09-10,12000000,30000000
1007,InnovaSoft,Calle Reforma 654,Nápoles,Benito Juárez,03810,Tecnología,50,2012-04-18,30000000,75000000
1008,Panadería Dulce,Av. Coyoacán 987,Del Carmen,Coyoacán,04100,Panadería,18,2020-01-30,6000000,15000000
1009,EducaPro,Calle Tlalpan 432,Portales,Benito Juárez,03300,Consultoría,35,2011-06-22,18000000,45000000
1010,AutoServicios,Calle Patriotismo 111,San Pedro de los Pinos,Benito Juárez,03800,Taller Automotriz,22,2016-08-05,9000000,22500000
1011,SaludVital,Av. Universidad 222,Chimalistac,Álvaro Obregón,01070,Farmacia,12,2021-03-15,4000000,10000000
1012,TechNova,Calle Álvaro Obregón 333,Roma Sur,Cuauhtémoc,06760,Tecnología,55,2009-12-01,35000000,87500000
1013,Restaurante Sabor,Calle Londres 444,Juárez,Cuauhtémoc,06690,Restaurante,28,2014-07-10,10000000,25000000
1014,ConstruPlus,Av. Santa Fe 555,Lomas de Santa Fe,Álvaro Obregón,01219,Construcción,65,2007-02-25,45000000,112500000
1015,Tienda Rápida,Calle Querétaro 666,Roma Norte,Cuauhtémoc,06700,Comercio,15,2019-11-20,7000000,17500000
1016,InfoSys,Calle Insurgentes Sur 777,Del Valle,Benito Juárez,03100,Tecnología,40,2013-05-08,20000000,50000000
1017,Café Delicia,Av. México 888,Condesa,Cuauhtémoc,06140,Restaurante,22,2018-09-15,8500000,21250000
1018,Consultora Avance,Calle Chiapas 999,Roma Sur,Cuauhtémoc,06760,Consultoría,32,2010-03-12,16000000,40000000
1019,Farmacia Bienestar,Calle Morelia 101,Álamos,Benito Juárez,03400,Farmacia,10,2022-01-10,3000000,7500000
1020,EdificaPro,Av. Revolución 102,Santa Fe,Álvaro Obregón,01376,Construcción,70,2006-06-30,50000000,125000000
1021,TecnoAvance,Calle Puebla 234,Condesa,Cuauhtémoc,06140,Tecnología,48,2014-08-12,28000000,70000000
1022,Restaurante Luna,Av. Insurgentes 345,Del Valle,Benito Juárez,03100,Restaurante,25,2017-10-05,9500000,23750000
1023,Consultora Vision,Calle Oaxaca 567,Roma Norte,Cuauhtémoc,06700,Consultoría,33,2009-05-15,17000000,42500000
1024,Farmacia Vida,Calle Hidalgo 678,Jardines del Pedregal,Álvaro Obregón,01900,Farmacia,14,2020-04-20,4500000,11250000
1025,ConstruTech,Av. Santa Fe 789,Lomas de Santa Fe,Álvaro Obregón,01219,Construcción,62,2007-11-10,42000000,105000000
1026,ModaChic,Calle Madero 890,Polanco,Miguel Hidalgo,11550,Comercio,20,2018-03-25,11000000,27500000
1027,SoftPeak,Calle Reforma 901,Nápoles,Benito Juárez,03810,Tecnología,52,2011-09-30,32000000,80000000
1028,Panadería Sabor,Av. Coyoacán 123,Del Carmen,Coyoacán,04100,Panadería,16,2021-02-15,5500000,13750000
1029,EducaMax,Calle Tlalpan 456,Portales,Benito Juárez,03300,Consultoría,36,2010-07-22,19000000,47500000
1030,AutoPro,Calle Patriotismo 234,San Pedro de los Pinos,Benito Juárez,03800,Taller Automotriz,23,2016-11-05,9200000,23000000
1031,SaludPlus,Av. Universidad 345,Chimalistac,Álvaro Obregón,01070,Farmacia,11,2022-06-10,3200000,8000000
1032,TechTrend,Calle Álvaro Obregón 456,Roma Sur,Cuauhtémoc,06760,Tecnología,57,2008-12-20,36000000,90000000
1033,Restaurante Sol,Calle Londres 567,Juárez,Cuauhtémoc,06690,Restaurante,29,2015-04-15,10500000,26250000
1034,ConstruNova,Av. Santa Fe 678,Lomas de Santa Fe,Álvaro Obregón,01219,Construcción,68,2006-03-30,46000000,115000000
1035,Tienda Express,Calle Querétaro 789,Roma Norte,Cuauhtémoc,06700,Comercio,16,2019-08-10,7500000,18750000
1036,DataSys,Calle Insurgentes Sur 890,Del Valle,Benito Juárez,03100,Tecnología,42,2012-06-08,21000000,52500000
1037,Café Sabroso,Av. México 901,Condesa,Cuauhtémoc,06140,Restaurante,23,2017-12-15,8700000,21750000
1038,Consultora Pro,Calle Chiapas 123,Roma Sur,Cuauhtémoc,06760,Consultoría,34,2009-09-12,16500000,41250000
1039,Farmacia Sana,Calle Morelia 234,Álamos,Benito Juárez,03400,Farmacia,12,2021-07-10,3500000,8750000
1040,EdificaMax,Av. Revolución 345,Santa Fe,Álvaro Obregón,01376,Construcción,72,2005-08-30,51000000,127500000
1041,TecnoPro,Calle Puebla 456,Condesa,Cuauhtémoc,06140,Tecnología,49,2013-10-12,29000000,72500000
1042,Restaurante Estrella,Av. Insurgentes 567,Del Valle,Benito Juárez,03100,Restaurante,26,2016-09-05,9700000,24250000
1043,Consultora Futuro,Calle Oaxaca 678,Roma Norte,Cuauhtémoc,06700,Consultoría,35,2008-07-15,17500000,43750000
1044,Farmacia Cuidarte,Calle Hidalgo 789,Jardines del Pedregal,Álvaro Obregón,01900,Farmacia,13,2020-05-20,4700000,11750000
1045,ConstruElite,Av. Santa Fe 890,Lomas de Santa Fe,Álvaro Obregón,01219,Construcción,63,2006-11-10,43000000,107500000
1046,ModaEstilo,Calle Madero 901,Polanco,Miguel Hidalgo,11550,Comercio,21,2017-04-25,11500000,28750000
1047,SoftNova,Calle Reforma 123,Nápoles,Benito Juárez,03810,Tecnología,53,2010-10-30,33000000,82500000
1048,Panadería Aroma,Av. Coyoacán 234,Del Carmen,Coyoacán,04100,Panadería,17,2021-03-15,5700000,14250000
1049,EducaNova,Calle Tlalpan 567,Portales,Benito Juárez,03300,Consultoría,37,2009-08-22,19500000,48750000
1050,AutoElite,Calle Patriotismo 345,San Pedro de los Pinos,Benito Juárez,03800,Taller Automotriz,24,2015-12-05,9400000,23500000
1051,SaludCare,Av. Universidad 456,Chimalistac,Álvaro Obregón,01070,Farmacia,13,2021-08-10,3400000,8500000
1052,TechElite,Calle Álvaro Obregón 567,Roma Sur,Cuauhtémoc,06760,Tecnología,58,2007-12-20,37000000,92500000
1053,Restaurante Cielo,Calle Londres 678,Juárez,Cuauhtémoc,06690,Restaurante,30,2014-05-15,11000000,27500000
1054,ConstruVida,Av. Santa Fe 901,Lomas de Santa Fe,Álvaro Obregón,01219,Construcción,69,2005-04-30,47000000,117500000
1055,Tienda Veloz,Calle Querétaro 890,Roma Norte,Cuauhtémoc,06700,Comercio,17,2019-06-10,7700000,19250000
1056,InfoTech,Calle Insurgentes Sur 901,Del Valle,Benito Juárez,03100,Tecnología,43,2011-07-08,22000000,55000000
1057,Café Rico,Av. México 123,Condesa,Cuauhtémoc,06140,Restaurante,24,2016-11-15,8900000,22250000
1058,Consultora Éxito,Calle Chiapas 234,Roma Sur,Cuauhtémoc,06760,Consultoría,36,2008-10-12,17000000,42500000
1059,Farmacia Natural,Calle Morelia 345,Álamos,Benito Juárez,03400,Farmacia,11,2022-02-10,3600000,9000000
1060,EdificaNova,Av. Revolución 456,Santa Fe,Álvaro Obregón,01376,Construcción,73,2004-09-30,52000000,130000000
1061,TecnoFuture,Calle Puebla 567,Condesa,Cuauhtémoc,06140,Tecnología,50,2012-11-12,30000000,75000000
1062,Restaurante Aurora,Av. Insurgentes 678,Del Valle,Benito Juárez,03100,Restaurante,27,2015-10-05,9900000,24750000
1063,Consultora Progreso,Calle Oaxaca 789,Roma Norte,Cuauhtémoc,06700,Consultoría,38,2007-09-15,18000000,45000000
1064,Farmacia Amiga,Calle Hidalgo 890,Jardines del Pedregal,Álvaro Obregón,01900,Farmacia,14,2020-06-20,4800000,12000000
1065,ConstruStar,Av. Santa Fe 123,Lomas de Santa Fe,Álvaro Obregón,01219,Construcción,64,2005-12-10,44000000,110000000
1066,ModaViva,Calle Madero 234,Polanco,Miguel Hidalgo,11550,Comercio,22,2016-05-25,12000000,30000000
1067,SoftVida,Calle Reforma 345,Nápoles,Benito Juárez,03810,Tecnología,54,2009-11-30,34000000,85000000
1068,Panadería Vida,Av. Coyoacán 456,Del Carmen,Coyoacán,04100,Panadería,18,2020-04-15,5900000,14750000
1069,EducaVida,Calle Tlalpan 678,Portales,Benito Juárez,03300,Consultoría,39,2008-09-22,20000000,50000000
1070,AutoVida,Calle Patriotismo 456,San Pedro de los Pinos,Benito Juárez,03800,Taller Automotriz,25,2014-12-05,9600000,24000000
1071,SaludNova,Av. Universidad 567,Chimalistac,Álvaro Obregón,01070,Farmacia,12,2021-09-10,3500000,8750000
1072,TechVida,Calle Álvaro Obregón 678,Roma Sur,Cuauhtémoc,06760,Tecnología,59,2006-12-20,38000000,95000000
1073,Restaurante Brisa,Calle Londres 789,Juárez,Cuauhtémoc,06690,Restaurante,31,2013-06-15,11500000,28750000
1074,ConstruFuture,Av. Santa Fe 234,Lomas de Santa Fe,Álvaro Obregón,01219,Construcción,70,2004-05-30,48000000,120000000
1075,Tienda Activa,Calle Querétaro 901,Roma Norte,Cuauhtémoc,06700,Comercio,18,2018-07-10,7900000,19750000
1076,DataVida,Calle Insurgentes Sur 123,Del Valle,Benito Juárez,03100,Tecnología,44,2010-08-08,23000000,57500000
1077,Café Vida,Av. México 234,Condesa,Cuauhtémoc,06140,Restaurante,25,2015-12-15,9100000,22750000
1078,Consultora Nova,Calle Chiapas 345,Roma Sur,Cuauhtémoc,06760,Consultoría,37,2007-11-12,17500000,43750000
1079,Farmacia Plus,Calle Morelia 456,Álamos,Benito Juárez,03400,Farmacia,13,2021-03-10,3700000,9250000
1080,EdificaVida,Av. Revolución 567,Santa Fe,Álvaro Obregón,01376,Construcción,74,2003-10-30,53000000,132500000
1081,TecnoVida,Calle Puebla 678,Condesa,Cuauhtémoc,06140,Tecnología,51,2011-12-12,31000000,77500000
1082,Restaurante Mar,Av. Insurgentes 789,Del Valle,Benito Juárez,03100,Restaurante,28,2014-11-05,10000000,25000000
1083,Consultora Star,Calle Oaxaca 901,Roma Norte,Cuauhtémoc,06700,Consultoría,40,2006-10-15,18500000,46250000
1084,Farmacia Estrella,Calle Hidalgo 123,Jardines del Pedregal,Álvaro Obregón,01900,Farmacia,15,2020-07-20,4900000,12250000
1085,ConstruViva,Av. Santa Fe 345,Lomas de Santa Fe,Álvaro Obregón,01219,Construcción,65,2004-12-10,45000000,112500000
1086,ModaNova,Calle Madero 456,Polanco,Miguel Hidalgo,11550,Comercio,23,2015-06-25,12500000,31250000
1087,SoftStar,Calle Reforma 567,Nápoles,Benito Juárez,03810,Tecnología,55,2008-12-30,35000000,87500000
1088,Panadería Estrella,Av. Coyoacán 567,Del Carmen,Coyoacán,04100,Panadería,19,2020-05-15,6100000,15250000
1089,EducaStar,Calle Tlalpan 789,Portales,Benito Juárez,03300,Consultoría,41,2007-10-22,20500000,51250000
1090,AutoStar,Calle Patriotismo 567,San Pedro de los Pinos,Benito Juárez,03800,Taller Automotriz,26,2013-12-05,9800000,24500000
1091,SaludStar,Av. Universidad 678,Chimalistac,Álvaro Obregón,01070,Farmacia,14,2021-10-10,3600000,9000000
1092,TechStar,Calle Álvaro Obregón 789,Roma Sur,Cuauhtémoc,06760,Tecnología,60,2005-12-20,39000000,97500000
1093,Restaurante Ola,Calle Londres 901,Juárez,Cuauhtémoc,06690,Restaurante,32,2012-07-15,12000000,30000000
1094,ConstruEstrella,Av. Santa Fe 456,Lomas de Santa Fe,Álvaro Obregón,01219,Construcción,71,2003-06-30,49000000,122500000
1095,Tienda Nova,Calle Querétaro 123,Roma Norte,Cuauhtémoc,06700,Comercio,19,2018-08-10,8100000,20250000
1096,DataStar,Calle Insurgentes Sur 234,Del Valle,Benito Juárez,03100,Tecnología,45,2009-09-08,24000000,60000000
1097,Café Estrella,Av. México 345,Condesa,Cuauhtémoc,06140,Restaurante,26,2014-12-15,9300000,23250000
1098,Consultora Vida,Calle Chiapas 456,Roma Sur,Cuauhtémoc,06760,Consultoría,39,2006-12-12,18000000,45000000
1099,Farmacia Nova,Calle Morelia 567,Álamos,Benito Juárez,03400,Farmacia,12,2021-04-10,3800000,9500000
1100,EdificaStar,Av. Revolución 678,Santa Fe,Álvaro Obregón,01376,Construcción,75,2002-11-30,54000000,135000000